NO,LayerName,Type,LayerMap,TextLayerMap,Thickness,Height,DK,DF,Cond,TC1,TC2,Tref
1,TOP_UBM,C,214;0,214;0,44.5,,4,0.02,5.80E+07,,,
2,PI1,V,11;0,,3,,4,0.02,5.80E+07,,,
3,RDL1,C,1;0,,4,,4,0.02,5.80E+07,,,
4,PI2,V,12;0,,3,,4,0.02,5.80E+07,,,
5,RDL2,C,2;0,,4,,4,0.02,5.80E+07,,,
6,PI3,V,13;0,,3,,4,0.02,5.80E+07,,,
7,RDL3,C,3;0,,4,,4,0.02,5.80E+07,,,
8,tsv      ,V,14;0,,3,,4,0.02,5.80E+07,,,
9,RDL4,C,4;0,,4,,4,0.02,5.80E+07,,,
10,PI5,V,15;0,,3,,4,0.02,5.80E+07,,,
11,BOT_UBM,C,215;0,,58,,4,0.02,5.80E+07,,,
12,tsv      ,I,,,0.15,,4,,,,,
